,club,leagueCountry,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,Alpha_3,meanIAT,nIAT,seIAT,meanExp,nExp,seExp,meanRating,yellowRed
0,29,3,172.0,67.0,7,364,226,57,81,32,56,1,3,30,0.330002381638,2574735.0,0.000231022318524,0.330002381638,2655936.0,0.00143118572993,0.25,1.0
1,10,3,183.0,73.0,2,294,145,62,87,60,16,0,0,30,0.329109643648,2565503.0,0.000233229837091,0.329109643648,2647455.0,0.00117930246526,0.125,0.0
2,35,3,171.0,69.0,2,178,53,43,82,39,22,1,0,30,0.366672824323,87911.0,0.000357719465581,0.366672824323,92973.0,0.00133522598821,0.25,1.0
3,9,3,182.0,78.0,2,322,125,82,115,105,68,3,4,30,0.340878480524,305901.0,0.000436681927175,0.340878480524,321422.0,0.00261218579045,0.25,3.0
4,66,3,190.0,88.0,5,44,22,6,16,0,1,0,1,30,0.348043814825,105304.0,0.000458675628467,0.348043814825,110781.0,0.00289354952894,0.0,0.0
5,68,3,187.0,77.0,2,200,78,62,60,52,8,0,0,30,0.367936292808,84419.0,0.000203501437923,0.367936292808,89444.0,0.00244123530217,0.0,0.0
6,86,3,181.0,77.0,4,529,277,130,122,10,187,3,6,30,0.339124343715,716082.0,0.000479331224965,0.339124343715,749800.0,0.00299959822795,0.25,3.0
7,74,3,186.0,82.0,1,170,50,50,70,4,69,0,3,30,0.339074263095,224414.0,0.000453359022278,0.339074263095,235845.0,0.00302395282953,0.125,0.0
8,62,3,177.0,68.0,12,17,5,3,9,1,1,0,0,30,0.369893594187,19635.0,0.0,0.369893594187,20867.0,0.0,0.25,0.0
9,59,1,188.0,92.0,1,364,239,79,46,36,48,0,2,33,0.329315214849,3245908.0,0.000188702229903,0.329315214849,3357041.0,0.00112353828659,0.5,0.0
10,35,3,183.0,80.0,1,255,96,57,102,16,77,7,4,30,0.342410203111,227803.0,0.000435206175078,0.342410203111,239394.0,0.0031642710383,0.0,7.0
11,61,3,175.0,73.0,0,226,90,51,85,53,25,0,0,30,0.35469866904,176700.0,0.00031127086087,0.35469866904,186612.0,0.00186957128415,0.25,0.0
12,64,3,192.0,86.0,1,126,45,37,44,5,40,4,1,30,0.342119398632,218136.0,0.000414387086852,0.342119398632,229586.0,0.0026817562724,0.375,4.0
13,9,3,192.0,85.0,1,272,98,65,109,5,92,9,4,30,0.328561158761,2855438.0,0.000217853030069,0.328561158761,2951536.0,0.00117207235977,0.0,9.0
14,9,3,182.0,73.0,0,230,101,57,72,21,62,1,4,30,0.329089541609,2253164.0,0.000257615967439,0.329089541609,2320866.0,0.00142617598231,0.0,1.0
15,49,0,176.0,69.0,3,219,147,27,45,13,19,0,0,29,0.328235756909,3072420.0,0.000209853179979,0.328235756909,3178108.0,0.000933946467854,0.75,0.0
16,61,3,188.0,81.0,1,23,5,5,13,0,2,1,0,30,0.369569637178,35260.0,9.68691914173e-06,0.369569637178,37036.0,0.000486407995971,0.5,1.0
17,4,1,184.0,76.0,1,268,89,81,98,21,53,2,3,33,0.337953518674,139872.0,0.000366953882279,0.337953518674,146041.0,0.00274518582289,0.75,2.0
18,6,0,179.06870229,73.0687022901,6,257,126,56,75,21,48,1,0,72,0.334427965314,1080957.0,0.00042797395414,0.334427965314,1131225.0,0.0026668523458,0.38358778626,1.0
19,68,3,192.0,84.0,1,179,74,45,60,11,27,0,0,30,0.368252880158,88441.0,0.000347432087924,0.368252880158,93916.0,0.000908144313213,0.25,0.0
20,57,1,184.0,81.0,5,54,27,12,15,0,3,0,0,33,0.332599610972,157511.0,0.000433286918289,0.332599610972,164961.0,0.0026783871322,0.25,0.0
21,61,3,176.0,74.0,6,343,138,91,114,16,61,2,3,30,0.344887175604,334190.0,0.000459331420209,0.344887175604,350431.0,0.0028867787791,0.25,2.0
22,70,3,173.0,72.0,4,172,65,43,64,31,45,0,1,30,0.369893594187,76755.0,0.0,0.369893594187,81571.0,2.54903949414e-18,0.125,0.0
23,70,3,184.0,82.0,2,199,73,40,86,35,37,1,1,30,0.355371259672,150911.0,0.000349614552398,0.355371259672,159593.0,0.00151504377952,0.25,1.0
24,23,3,184.0,80.0,5,364,140,90,134,1,33,1,4,30,0.349947340108,238264.0,0.000545398491356,0.349947340108,250953.0,0.00378440721848,0.0,1.0
25,66,3,184.0,79.0,9,363,243,71,49,6,85,5,0,30,0.32934278215,3075512.0,0.000234338994817,0.32934278215,3180546.0,0.00138735093252,0.25,5.0
26,61,3,189.0,76.0,2,267,100,70,97,35,33,2,0,30,0.364030510219,153466.0,0.000383062318012,0.364030510219,161714.0,0.00294030189563,0.25,2.0
27,18,3,185.0,77.0,1,148,52,30,66,5,48,4,2,30,0.369893594187,67830.0,1.31389640371e-18,0.369893594187,72086.0,0.0,0.25,4.0
28,9,3,186.0,81.0,5,7,6,1,0,0,2,0,0,29,0.333516325557,59572.0,0.000302489938311,0.333516325557,62293.0,0.00199929985307,0.0,0.0
29,10,3,189.0,85.0,5,147,61,31,55,0,5,1,0,30,0.339359447486,307381.0,0.000546033237049,0.339359447486,322197.0,0.00365206795072,0.125,1.0
30,9,3,182.0,82.0,1,120,53,30,37,6,25,1,1,30,0.33938595306,220331.0,0.00049883238591,0.33938595306,231068.0,0.00343516008374,0.0,1.0
31,23,3,175.0,75.0,6,221,92,51,78,4,56,1,1,30,0.369893594187,105315.0,1.31389640371e-18,0.369893594187,111923.0,0.0,0.0,1.0
32,21,0,178.0,70.0,9,287,131,65,91,4,41,1,0,30,0.328489728009,2936061.0,0.000210199383886,0.328489728009,3035310.0,0.00120707279628,0.25,1.0
